"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2005","EQ","1,680.00","1,719.90","1,680.00","1,710.05","1,700.00","1,702.85","1,702.43","1,753.00","1,093.30","2,97,531","50,65,24,911.15","-"
"29-Dec-2005","EQ","1,690.00","1,719.90","1,681.65","1,685.65","1,715.00","1,710.05","1,700.72","1,753.00","1,093.30","4,32,723","73,59,40,370.10","-"
"28-Dec-2005","EQ","1,695.00","1,710.00","1,676.65","1,698.15","1,681.65","1,685.65","1,695.94","1,753.00","1,093.30","3,22,757","54,73,75,963.25","-"
"27-Dec-2005","EQ","1,662.75","1,703.00","1,643.00","1,662.90","1,702.80","1,698.15","1,682.87","1,753.00","1,093.30","1,95,651","32,92,54,750.15","-"
"26-Dec-2005","EQ","1,674.00","1,674.00","1,656.25","1,671.75","1,661.85","1,662.90","1,663.92","1,753.00","1,093.30","2,03,160","33,80,41,955.65","-"
"23-Dec-2005","EQ","1,687.00","1,705.00","1,665.00","1,684.70","1,665.90","1,671.75","1,682.15","1,753.00","1,093.30","3,06,879","51,62,16,562.20","-"
"22-Dec-2005","EQ","1,690.00","1,699.70","1,678.95","1,686.10","1,686.50","1,684.70","1,687.68","1,753.00","1,093.30","3,14,901","53,14,51,024.90","-"
"21-Dec-2005","EQ","1,705.00","1,714.60","1,671.00","1,693.50","1,691.30","1,686.10","1,693.83","1,753.00","1,093.30","4,10,304","69,49,86,754.80","-"
"20-Dec-2005","EQ","1,750.00","1,750.00","1,687.00","1,734.55","1,695.05","1,693.50","1,698.75","1,753.00","1,093.30","5,78,571","98,28,50,127.40","-"
"19-Dec-2005","EQ","1,726.00","1,753.00","1,717.00","1,714.40","1,732.50","1,734.55","1,738.80","1,753.00","1,093.30","5,87,646","1,02,18,01,717.20","-"
"16-Dec-2005","EQ","1,690.00","1,726.00","1,683.00","1,682.80","1,715.40","1,714.40","1,706.01","1,726.00","1,093.30","9,88,429","1,68,62,69,825.75","-"
"15-Dec-2005","EQ","1,689.90","1,698.50","1,668.40","1,683.90","1,683.90","1,682.80","1,683.51","1,705.00","1,093.30","5,31,127","89,41,55,015.05","-"
"14-Dec-2005","EQ","1,660.00","1,700.00","1,640.00","1,667.60","1,677.00","1,683.90","1,669.96","1,705.00","1,093.30","6,02,401","1,00,59,85,849.45","-"
"13-Dec-2005","EQ","1,652.00","1,678.00","1,645.00","1,650.20","1,677.00","1,667.60","1,657.76","1,705.00","1,093.30","7,53,384","1,24,89,32,048.60","-"
"12-Dec-2005","EQ","1,650.35","1,705.00","1,642.00","1,682.70","1,653.00","1,650.20","1,661.01","1,705.00","1,093.30","7,73,936","1,28,55,12,242.45","-"
"09-Dec-2005","EQ","1,618.00","1,694.60","1,611.30","1,616.55","1,683.00","1,682.70","1,658.84","1,694.60","1,093.30","7,74,278","1,28,44,04,214.95","-"
"08-Dec-2005","EQ","1,595.00","1,624.70","1,592.25","1,595.55","1,610.00","1,616.55","1,609.15","1,638.00","1,093.30","11,98,149","1,92,79,97,037.40","-"
"07-Dec-2005","EQ","1,562.00","1,600.00","1,560.30","1,554.00","1,597.00","1,595.55","1,581.87","1,638.00","1,093.30","7,02,369","1,11,10,56,490.05","-"
"06-Dec-2005","EQ","1,535.00","1,570.00","1,526.30","1,531.35","1,565.00","1,554.00","1,554.40","1,638.00","1,093.30","4,04,133","62,81,85,770.50","-"
"05-Dec-2005","EQ","1,552.00","1,554.10","1,526.25","1,550.00","1,535.00","1,531.35","1,538.49","1,638.00","1,093.30","2,39,135","36,79,06,566.95","-"
"02-Dec-2005","EQ","1,554.65","1,574.40","1,541.05","1,550.10","1,552.00","1,550.00","1,558.23","1,638.00","1,093.30","5,98,045","93,18,94,488.75","-"
"01-Dec-2005","EQ","1,520.00","1,554.65","1,518.75","1,521.10","1,549.00","1,550.10","1,542.34","1,638.00","1,093.30","5,20,246","80,23,95,336.65","-"
"30-Nov-2005","EQ","1,532.00","1,552.50","1,515.00","1,545.35","1,524.95","1,521.10","1,537.24","1,638.00","1,093.30","5,02,922","77,31,09,325.55","-"
"29-Nov-2005","EQ","1,544.80","1,550.00","1,520.55","1,547.65","1,541.90","1,545.35","1,538.40","1,638.00","1,093.30","4,12,928","63,52,48,747.25","-"
"28-Nov-2005","EQ","1,538.80","1,550.00","1,536.00","1,538.85","1,547.50","1,547.65","1,545.86","1,638.00","1,093.30","3,16,906","48,98,92,932.55","-"
"26-Nov-2005","EQ","1,533.50","1,540.00","1,527.10","1,533.70","1,537.10","1,538.85","1,535.04","1,638.00","1,093.30","1,16,790","17,92,76,810.35","-"
"25-Nov-2005","EQ","1,524.25","1,540.00","1,510.35","1,524.25","1,535.90","1,533.70","1,533.78","1,638.00","1,093.30","4,18,033","64,11,70,985.05","-"
"24-Nov-2005","EQ","1,516.00","1,533.20","1,516.00","1,516.65","1,530.00","1,524.25","1,526.69","1,638.00","1,093.30","5,68,011","86,71,77,936.85","-"
