"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2008","EQ","492.30","492.30","472.25","482.55","476.85","477.90","478.85","1,096.05","415.35","6,35,924","30,45,09,725.65","-"
"30-Dec-2008","EQ","485.00","493.50","470.00","476.80","479.00","482.55","477.17","1,096.05","415.35","8,80,632","42,02,11,721.30","-"
"29-Dec-2008","EQ","476.00","479.50","460.00","471.65","476.00","476.80","470.08","1,096.05","415.35","12,18,902","57,29,87,319.65","-"
"26-Dec-2008","EQ","465.20","495.00","465.20","478.15","475.00","471.65","474.70","1,120.00","415.35","7,88,641","37,43,68,573.60","-"
"24-Dec-2008","EQ","496.70","504.75","472.25","500.60","480.35","478.15","485.45","1,120.00","415.35","22,87,109","1,11,02,84,849.30","-"
"23-Dec-2008","EQ","495.20","511.60","492.25","510.55","500.00","500.60","501.90","1,120.00","415.35","8,91,780","44,75,80,831.85","-"
"22-Dec-2008","EQ","519.50","519.50","503.40","513.55","512.00","510.55","511.13","1,120.00","415.35","10,26,713","52,47,84,803.80","-"
"19-Dec-2008","EQ","503.00","534.00","494.10","510.50","513.00","513.55","506.33","1,120.00","415.35","12,35,997","62,58,22,197.00","-"
"18-Dec-2008","EQ","474.90","514.10","472.00","477.30","508.00","510.50","497.95","1,120.00","415.35","14,30,984","71,25,52,401.55","-"
"17-Dec-2008","EQ","485.35","492.00","472.00","479.35","475.00","477.30","483.50","1,120.00","415.35","16,19,017","78,27,99,480.20","-"
"16-Dec-2008","EQ","470.00","484.90","465.00","469.65","482.70","479.35","479.06","1,120.00","415.35","14,61,967","70,03,70,072.00","-"
"15-Dec-2008","EQ","502.00","502.00","467.25","481.30","469.30","469.65","484.04","1,120.00","415.35","14,99,429","72,57,88,812.50","-"
"12-Dec-2008","EQ","509.95","509.95","475.25","507.65","483.00","481.30","483.32","1,120.00","415.35","17,80,259","86,04,30,403.15","-"
"11-Dec-2008","EQ","549.70","549.70","502.00","541.05","507.90","507.65","516.13","1,120.00","415.35","18,25,063","94,19,78,289.70","-"
"10-Dec-2008","EQ","549.80","556.80","529.50","522.25","537.00","541.05","541.78","1,120.00","415.35","20,22,095","1,09,55,21,119.10","-"
"08-Dec-2008","EQ","535.00","546.25","512.40","521.80","525.20","522.25","534.55","1,120.00","415.35","19,05,351","1,01,85,03,430.20","-"
"05-Dec-2008","EQ","538.40","545.30","518.25","549.40","520.00","521.80","527.74","1,120.00","415.35","17,76,362","93,74,62,748.35","-"
"04-Dec-2008","EQ","535.00","553.70","503.35","534.80","550.00","549.40","545.77","1,120.00","415.35","20,64,127","1,12,65,43,064.45","-"
"03-Dec-2008","EQ","536.35","551.70","521.60","532.85","528.00","534.80","533.86","1,120.00","415.35","24,99,498","1,33,43,89,509.20","-"
"02-Dec-2008","EQ","570.00","570.00","523.05","564.15","536.00","532.85","537.52","1,120.00","415.35","16,64,702","89,48,04,953.35","-"
"01-Dec-2008","EQ","559.40","593.75","556.35","559.40","567.15","564.15","577.08","1,120.00","415.35","29,89,676","1,72,52,93,482.40","-"
"28-Nov-2008","EQ","518.00","568.00","518.00","527.45","562.00","559.40","551.40","1,120.00","415.35","30,34,516","1,67,32,33,440.95","-"
"26-Nov-2008","EQ","503.25","530.00","497.15","504.00","524.50","527.45","512.37","1,120.00","415.35","15,33,889","78,59,18,415.35","-"
"25-Nov-2008","EQ","519.10","539.95","500.05","519.90","503.00","504.00","516.32","1,120.00","415.35","14,43,505","74,53,07,662.20","-"
"24-Nov-2008","EQ","504.00","531.65","490.25","506.45","517.35","519.90","519.49","1,120.00","415.35","20,92,639","1,08,70,99,544.70","-"
"21-Nov-2008","EQ","469.70","517.00","460.00","469.25","504.00","506.45","499.00","1,120.00","415.35","17,11,423","85,40,07,669.35","-"
"20-Nov-2008","EQ","480.00","480.00","460.00","482.65","473.00","469.25","465.14","1,120.00","415.35","12,54,112","58,33,41,209.90","-"
"19-Nov-2008","EQ","490.00","496.00","471.70","483.15","481.30","482.65","482.37","1,120.00","415.35","20,43,772","98,58,59,543.95","-"
"18-Nov-2008","EQ","520.00","520.00","480.00","519.00","480.25","483.15","495.32","1,120.00","415.35","24,38,788","1,20,79,82,482.55","-"
"17-Nov-2008","EQ","529.00","537.00","505.50","530.85","517.00","519.00","519.21","1,120.00","415.35","20,22,743","1,05,02,25,520.55","-"
"14-Nov-2008","EQ","545.00","548.50","523.50","534.90","535.00","530.85","532.24","1,120.00","415.35","16,54,366","88,05,27,667.05","-"
"12-Nov-2008","EQ","528.85","554.45","515.05","528.85","530.00","534.90","538.69","1,120.00","415.35","19,35,511","1,04,26,37,439.65","-"
"11-Nov-2008","EQ","542.00","547.75","520.00","546.45","522.30","528.85","533.97","1,120.00","415.35","16,24,694","86,75,41,224.50","-"
"10-Nov-2008","EQ","549.90","552.50","515.05","525.15","549.00","546.45","531.82","1,120.00","415.35","10,24,754","54,49,89,580.35","-"
"07-Nov-2008","EQ","500.00","535.00","485.75","500.20","529.90","525.15","514.81","1,120.00","415.35","14,69,430","75,64,76,684.65","-"
"06-Nov-2008","EQ","528.50","528.50","482.10","506.40","499.85","500.20","505.05","1,120.00","415.35","19,65,479","99,26,57,035.50","-"
"05-Nov-2008","EQ","515.00","548.90","500.00","508.50","504.95","506.40","527.64","1,120.00","415.35","23,08,291","1,21,79,54,369.60","-"
"04-Nov-2008","EQ","596.60","596.60","490.00","547.40","503.50","508.50","513.60","1,120.00","415.35","23,55,635","1,20,98,52,386.35","-"
"03-Nov-2008","EQ","559.95","583.00","527.05","537.50","555.05","547.40","547.26","1,120.00","415.35","18,83,005","1,03,04,96,905.15","-"
"31-Oct-2008","EQ","569.00","595.00","529.75","540.80","537.00","537.50","566.70","1,120.00","415.35","25,93,995","1,47,00,26,640.20","-"
"29-Oct-2008","EQ","562.00","575.00","530.25","540.25","542.70","540.80","551.12","1,120.00","415.35","27,38,893","1,50,94,55,270.65","-"
"28-Oct-2008","EQ","511.10","549.90","510.00","496.75","547.00","540.25","535.74","1,120.00","415.35","1,66,428","8,91,62,248.30","-"
