"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2010","EQ","1,172.50","1,180.00","1,161.80","1,170.20","1,164.00","1,165.65","1,168.91","1,180.00","685.25","7,66,490","89,59,57,819.90","-"
"30-Dec-2010","EQ","1,152.50","1,174.80","1,152.50","1,156.95","1,172.30","1,170.20","1,166.82","1,177.00","685.25","19,22,776","2,24,35,36,397.70","-"
"29-Dec-2010","EQ","1,149.00","1,162.00","1,147.05","1,146.35","1,159.90","1,156.95","1,153.09","1,177.00","685.25","5,21,185","60,09,72,664.00","-"
"28-Dec-2010","EQ","1,141.20","1,150.90","1,140.05","1,141.20","1,147.60","1,146.35","1,145.55","1,177.00","685.25","5,06,438","58,01,49,822.70","-"
"27-Dec-2010","EQ","1,145.00","1,159.45","1,138.20","1,141.10","1,141.05","1,141.20","1,148.33","1,177.00","685.25","8,32,468","95,59,45,431.90","-"
"24-Dec-2010","EQ","1,134.00","1,148.80","1,125.75","1,140.00","1,140.95","1,141.10","1,139.11","1,177.00","685.25","8,12,320","92,53,25,310.35","-"
"23-Dec-2010","EQ","1,150.00","1,159.55","1,132.10","1,149.75","1,140.00","1,140.00","1,141.03","1,177.00","685.25","14,25,462","1,62,64,97,935.35","-"
"22-Dec-2010","EQ","1,167.00","1,169.00","1,137.75","1,160.80","1,151.00","1,149.75","1,147.78","1,177.00","685.25","15,93,418","1,82,88,98,808.50","-"
"21-Dec-2010","EQ","1,169.00","1,172.25","1,154.00","1,166.70","1,159.00","1,160.80","1,160.35","1,177.00","685.25","14,05,321","1,63,06,58,373.85","-"
"20-Dec-2010","EQ","1,134.80","1,177.00","1,114.85","1,140.70","1,168.00","1,166.70","1,149.12","1,177.00","685.25","22,57,023","2,59,35,89,779.05","-"
"16-Dec-2010","EQ","1,109.00","1,144.00","1,104.15","1,103.65","1,143.00","1,140.70","1,132.01","1,144.00","685.25","22,57,852","2,55,59,18,664.60","-"
"15-Dec-2010","EQ","1,085.10","1,108.40","1,081.50","1,080.95","1,101.15","1,103.65","1,095.75","1,113.00","685.25","12,86,017","1,40,91,51,497.80","-"
"14-Dec-2010","EQ","1,073.20","1,089.60","1,064.15","1,076.10","1,080.00","1,080.95","1,078.90","1,113.00","685.25","13,07,670","1,41,08,45,830.50","-"
"13-Dec-2010","EQ","1,071.00","1,080.70","1,048.40","1,074.90","1,072.00","1,076.10","1,066.71","1,113.00","685.25","10,57,533","1,12,80,75,848.65","-"
"10-Dec-2010","EQ","1,067.00","1,083.85","1,057.00","1,072.60","1,073.50","1,074.90","1,070.85","1,113.00","685.25","11,22,812","1,20,23,65,601.80","-"
"09-Dec-2010","EQ","1,083.70","1,097.30","1,068.10","1,079.15","1,073.80","1,072.60","1,083.60","1,113.00","685.25","12,89,951","1,39,77,90,887.05","-"
"08-Dec-2010","EQ","1,090.95","1,092.95","1,071.25","1,087.50","1,081.00","1,079.15","1,078.99","1,113.00","685.25","9,92,066","1,07,04,29,048.70","-"
"07-Dec-2010","EQ","1,100.00","1,100.00","1,082.10","1,101.70","1,089.90","1,087.50","1,089.22","1,113.00","685.25","10,79,162","1,17,54,44,093.00","-"
"06-Dec-2010","EQ","1,100.00","1,110.00","1,095.30","1,097.35","1,103.20","1,101.70","1,104.61","1,113.00","685.25","9,65,477","1,06,64,70,820.80","-"
"03-Dec-2010","EQ","1,093.05","1,113.00","1,091.15","1,095.80","1,094.55","1,097.35","1,101.61","1,113.00","674.00","10,15,056","1,11,81,99,706.55","-"
"02-Dec-2010","EQ","1,091.00","1,099.20","1,075.05","1,081.90","1,099.20","1,095.80","1,089.08","1,108.00","674.00","20,47,858","2,23,02,79,062.15","-"
"01-Dec-2010","EQ","1,064.00","1,093.20","1,064.00","1,076.00","1,086.00","1,081.90","1,082.95","1,108.00","674.00","18,88,016","2,04,46,23,031.50","-"
