"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Dec-2006","EQ","1,213.45","1,229.40","1,202.50","1,211.90","1,222.50","1,222.00","1,221.13","2,092.00","863.00","4,68,617","57,22,44,029.65","-"
"28-Dec-2006","EQ","1,205.40","1,220.00","1,188.00","1,196.00","1,219.90","1,211.90","1,205.64","2,092.00","863.00","6,04,577","72,89,01,491.50","-"
"27-Dec-2006","EQ","1,195.00","1,206.00","1,181.05","1,191.40","1,198.00","1,196.00","1,195.02","2,092.00","863.00","5,98,600","71,53,38,172.80","-"
"26-Dec-2006","EQ","1,153.00","1,194.40","1,153.00","1,153.95","1,192.00","1,191.40","1,179.35","2,092.00","863.00","4,49,348","52,99,38,156.50","-"
"22-Dec-2006","EQ","1,135.00","1,160.00","1,128.10","1,136.95","1,155.00","1,153.95","1,143.45","2,092.00","863.00","4,37,504","50,02,65,023.50","-"
"21-Dec-2006","EQ","1,137.00","1,150.00","1,111.00","1,128.75","1,138.00","1,136.95","1,133.24","2,092.00","863.00","5,63,954","63,90,97,370.35","-"
"20-Dec-2006","EQ","1,150.00","1,167.85","1,115.05","1,141.85","1,120.00","1,128.75","1,140.84","2,092.00","863.00","9,38,915","1,07,11,47,498.05","-"
"19-Dec-2006","EQ","1,181.00","1,183.80","1,125.00","1,181.25","1,138.10","1,141.85","1,149.90","2,092.00","863.00","9,05,907","1,04,17,06,917.65","-"
"18-Dec-2006","EQ","1,155.00","1,188.40","1,124.00","1,160.20","1,186.00","1,181.25","1,154.66","2,092.00","863.00","5,87,856","67,87,71,589.60","-"
"15-Dec-2006","EQ","1,168.40","1,168.40","1,148.00","1,149.60","1,157.00","1,160.20","1,156.98","2,092.00","863.00","5,76,429","66,69,18,609.70","-"
"14-Dec-2006","EQ","1,105.05","1,160.00","1,105.05","1,120.85","1,156.00","1,149.60","1,135.01","2,092.00","863.00","7,29,006","82,74,28,273.75","-"
"13-Dec-2006","EQ","1,120.50","1,141.00","1,080.35","1,120.50","1,122.00","1,120.85","1,113.73","2,092.00","863.00","9,04,305","1,00,71,52,407.55","-"
"12-Dec-2006","EQ","1,170.00","1,180.00","1,105.00","1,173.45","1,108.00","1,120.50","1,136.99","2,092.00","863.00","12,79,575","1,45,48,58,795.55","-"
"11-Dec-2006","EQ","1,175.00","1,189.00","1,134.00","1,176.90","1,168.00","1,173.45","1,169.46","2,092.00","863.00","10,69,858","1,25,11,58,327.20","-"
"08-Dec-2006","EQ","1,199.00","1,199.00","1,173.35","1,194.30","1,178.00","1,176.90","1,178.95","2,092.00","863.00","4,71,817","55,62,47,893.60","-"
"07-Dec-2006","EQ","1,205.00","1,234.45","1,187.10","1,198.60","1,194.00","1,194.30","1,195.67","2,092.00","863.00","7,18,218","85,87,48,728.10","-"
"06-Dec-2006","EQ","1,172.20","1,207.00","1,172.20","1,191.90","1,199.00","1,198.60","1,194.36","2,092.00","863.00","7,95,214","94,97,74,179.70","-"
"05-Dec-2006","EQ","1,209.70","1,209.70","1,185.00","1,192.40","1,190.00","1,191.90","1,196.66","2,092.00","863.00","5,29,119","63,31,74,690.50","-"
"04-Dec-2006","EQ","1,200.00","1,211.00","1,190.00","1,189.35","1,190.25","1,192.40","1,196.79","2,092.00","863.00","5,58,523","66,84,33,970.95","-"
