"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2007","EQ","1,083.00","1,096.05","1,052.00","1,082.15","1,059.00","1,077.40","1,086.26","1,388.95","926.65","5,39,042","58,55,41,857.45","-"
"28-Dec-2007","EQ","1,100.00","1,100.00","1,060.00","1,110.75","1,080.05","1,082.15","1,086.70","1,388.95","926.65","5,49,149","59,67,62,937.95","-"
"27-Dec-2007","EQ","1,105.10","1,120.00","1,086.55","1,100.30","1,112.00","1,110.75","1,102.83","1,388.95","926.65","10,02,142","1,10,51,95,654.40","-"
"26-Dec-2007","EQ","1,115.00","1,119.70","1,086.15","1,109.70","1,099.20","1,100.30","1,095.71","1,388.95","926.65","7,26,499","79,60,29,646.65","-"
"24-Dec-2007","EQ","1,080.00","1,120.00","1,050.00","1,045.35","1,119.10","1,109.70","1,097.03","1,388.95","926.65","11,63,916","1,27,68,53,172.80","-"
"20-Dec-2007","EQ","1,029.50","1,053.95","1,023.00","1,024.50","1,053.95","1,045.35","1,042.18","1,388.95","926.65","7,59,005","79,10,20,672.15","-"
"19-Dec-2007","EQ","1,012.00","1,028.80","1,008.00","1,010.45","1,023.00","1,024.50","1,020.93","1,388.95","926.65","6,67,755","68,17,33,716.75","-"
"18-Dec-2007","EQ","1,010.00","1,040.00","1,003.30","1,012.40","1,004.90","1,010.45","1,013.44","1,388.95","926.65","9,61,465","97,43,87,879.80","-"
"17-Dec-2007","EQ","1,072.40","1,072.40","1,005.00","1,040.40","1,011.00","1,012.40","1,017.59","1,388.95","926.65","8,00,832","81,49,18,263.50","-"
"14-Dec-2007","EQ","1,015.30","1,055.00","1,015.30","1,029.60","1,035.20","1,040.40","1,042.87","1,388.95","926.65","6,80,109","70,92,66,866.55","-"
"13-Dec-2007","EQ","1,050.00","1,063.80","1,025.30","1,053.40","1,030.00","1,029.60","1,050.74","1,388.95","926.65","11,62,859","1,22,18,60,422.60","-"
"12-Dec-2007","EQ","1,028.20","1,060.00","1,026.10","1,041.30","1,049.00","1,053.40","1,040.82","1,388.95","926.65","9,29,652","96,76,04,256.25","-"
"11-Dec-2007","EQ","1,049.00","1,049.00","1,025.25","1,035.60","1,041.50","1,041.30","1,038.09","1,388.95","926.65","7,26,864","75,45,53,219.35","-"
"10-Dec-2007","EQ","1,070.10","1,074.00","1,030.00","1,062.60","1,035.00","1,035.60","1,045.07","1,388.95","926.65","9,66,005","1,00,95,44,689.00","-"
"07-Dec-2007","EQ","1,040.00","1,072.05","1,026.25","1,035.55","1,070.00","1,062.60","1,050.51","1,388.95","926.65","12,01,452","1,26,21,36,898.50","-"
"06-Dec-2007","EQ","1,040.00","1,051.70","1,031.20","1,033.20","1,038.60","1,035.55","1,039.64","1,388.95","926.65","10,40,863","1,08,21,24,224.00","-"
