"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2014","EQ","2,532.70","2,566.40","2,525.00","2,530.05","2,564.00","2,558.25","2,545.03","2,839.70","1,999.50","7,86,896","2,00,26,76,444.50","38,762"
"30-Dec-2014","EQ","2,525.00","2,542.45","2,516.00","2,522.90","2,530.00","2,530.05","2,530.17","2,839.70","1,999.50","3,50,671","88,72,56,474.90","29,747"
"29-Dec-2014","EQ","2,508.00","2,536.95","2,507.00","2,505.00","2,521.40","2,522.90","2,522.46","2,839.70","1,999.50","3,89,460","98,23,95,756.30","27,095"
"26-Dec-2014","EQ","2,486.00","2,510.00","2,465.00","2,479.90","2,509.35","2,505.00","2,488.46","2,839.70","1,999.50","3,13,103","77,91,43,085.60","18,772"
"24-Dec-2014","EQ","2,515.00","2,520.85","2,465.65","2,516.70","2,485.00","2,479.90","2,485.30","2,839.70","1,999.50","16,44,486","4,08,70,35,867.70","49,855"
"23-Dec-2014","EQ","2,500.00","2,536.65","2,494.60","2,513.40","2,517.00","2,516.70","2,514.24","2,839.70","1,999.50","6,33,238","1,59,21,11,161.90","34,288"
"22-Dec-2014","EQ","2,526.00","2,529.00","2,474.40","2,510.55","2,513.65","2,513.40","2,495.66","2,839.70","1,999.50","8,21,977","2,05,13,77,849.95","75,446"
"19-Dec-2014","EQ","2,471.30","2,523.75","2,468.00","2,460.70","2,521.95","2,510.55","2,503.39","2,839.70","1,999.50","9,51,565","2,38,21,41,486.70","57,351"
"18-Dec-2014","EQ","2,455.10","2,468.50","2,434.80","2,444.10","2,454.00","2,460.70","2,453.57","2,839.70","1,999.50","7,40,722","1,81,74,16,898.50","45,590"
"17-Dec-2014","EQ","2,453.40","2,470.00","2,405.25","2,443.05","2,449.00","2,444.10","2,445.41","2,839.70","1,999.50","11,43,538","2,79,64,18,557.50","70,509"
"16-Dec-2014","EQ","2,350.00","2,459.25","2,345.00","2,358.65","2,449.00","2,443.05","2,426.81","2,839.70","1,999.50","16,69,570","4,05,17,31,094.40","1,34,989"
"15-Dec-2014","EQ","2,384.90","2,385.00","2,352.25","2,450.70","2,365.00","2,358.65","2,370.64","2,839.70","1,999.50","17,43,894","4,13,41,47,758.45","1,03,344"
"12-Dec-2014","EQ","2,500.00","2,520.00","2,422.65","2,492.15","2,455.00","2,450.70","2,459.33","2,839.70","1,995.00","11,90,393","2,92,75,64,128.65","83,243"
"11-Dec-2014","EQ","2,500.60","2,522.90","2,487.00","2,507.90","2,496.65","2,492.15","2,505.66","2,839.70","1,995.00","9,69,411","2,42,90,18,330.00","49,348"
"10-Dec-2014","EQ","2,515.00","2,531.90","2,496.20","2,514.85","2,506.70","2,507.90","2,512.45","2,839.70","1,995.00","10,43,985","2,62,29,59,839.65","1,00,215"
"09-Dec-2014","EQ","2,516.00","2,559.00","2,509.10","2,512.80","2,511.65","2,514.85","2,532.85","2,839.70","1,995.00","12,43,970","3,15,07,89,700.20","1,09,440"
"08-Dec-2014","EQ","2,595.00","2,595.00","2,501.65","2,578.95","2,515.70","2,512.80","2,522.01","2,839.70","1,995.00","16,16,287","4,07,62,99,040.20","83,979"
"05-Dec-2014","EQ","2,640.90","2,649.80","2,572.15","2,637.95","2,575.00","2,578.95","2,589.62","2,839.70","1,983.05","11,79,838","3,05,53,31,983.55","76,304"
"04-Dec-2014","EQ","2,664.00","2,667.00","2,629.90","2,635.35","2,642.00","2,637.95","2,643.38","2,839.70","1,983.05","6,42,654","1,69,87,79,851.80","47,929"
