"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2018","EQ","1,908.00","1,909.00","1,886.15","1,896.05","1,894.75","1,893.05","1,896.42","3,674.80","1,711.15","18,79,740","3,56,47,72,253.95","66,284"
"28-Dec-2018","EQ","1,915.00","1,920.00","1,893.00","1,908.95","1,897.00","1,896.05","1,907.36","3,674.80","1,711.15","22,39,130","4,27,08,38,131.80","1,12,230"
"27-Dec-2018","EQ","1,909.00","1,941.70","1,872.10","1,889.20","1,909.10","1,908.95","1,920.44","3,674.80","1,711.15","49,68,201","9,54,11,45,913.90","1,43,656"
"26-Dec-2018","EQ","1,921.80","1,921.80","1,870.25","1,918.50","1,892.00","1,889.20","1,884.77","3,674.80","1,711.15","24,46,614","4,61,12,97,888.70","97,165"
"24-Dec-2018","EQ","1,905.80","1,938.90","1,905.00","1,895.80","1,922.00","1,918.50","1,924.70","3,674.80","1,711.15","18,64,116","3,58,78,57,371.60","94,556"
"21-Dec-2018","EQ","1,948.00","1,950.00","1,886.55","1,954.05","1,905.00","1,895.80","1,913.17","3,674.80","1,711.15","37,29,956","7,13,60,52,188.45","1,48,411"
"20-Dec-2018","EQ","1,953.80","1,974.90","1,946.00","1,968.45","1,955.00","1,954.05","1,955.65","3,674.80","1,711.15","19,40,277","3,79,45,09,954.25","1,10,330"
"19-Dec-2018","EQ","1,984.80","1,984.80","1,960.05","1,987.85","1,970.80","1,968.45","1,968.84","3,674.80","1,711.15","24,98,833","4,91,98,04,830.75","1,62,431"
"18-Dec-2018","EQ","1,991.90","2,002.00","1,976.40","1,994.30","1,987.90","1,987.85","1,986.56","3,674.80","1,711.15","17,68,742","3,51,37,11,449.25","98,048"
"17-Dec-2018","EQ","1,999.00","2,004.90","1,985.00","1,989.75","1,992.90","1,994.30","1,993.85","3,674.80","1,711.15","12,27,921","2,44,82,95,270.75","82,547"
"14-Dec-2018","EQ","1,983.00","1,998.95","1,975.25","1,982.60","1,989.00","1,989.75","1,984.61","3,674.80","1,711.15","24,73,761","4,90,94,42,438.40","1,31,978"
"13-Dec-2018","EQ","2,024.00","2,029.70","1,974.50","2,016.80","1,981.95","1,982.60","1,995.57","3,674.80","1,711.15","37,48,429","7,48,02,37,533.05","2,30,059"
"12-Dec-2018","EQ","2,001.10","2,022.00","1,984.95","2,000.00","2,016.50","2,016.80","2,011.87","3,674.80","1,711.15","22,19,993","4,46,63,42,395.75","1,37,802"
"11-Dec-2018","EQ","1,970.00","2,010.00","1,961.00","1,975.80","1,997.05","2,000.00","1,993.07","3,674.80","1,711.15","29,42,014","5,86,36,26,489.60","1,55,565"
"10-Dec-2018","EQ","1,975.00","2,011.00","1,960.00","1,995.20","1,961.00","1,975.80","1,988.81","3,674.80","1,711.15","20,10,786","3,99,90,73,163.95","1,31,125"
"07-Dec-2018","EQ","1,985.05","2,003.90","1,973.00","1,992.70","1,999.85","1,995.20","1,991.36","3,674.80","1,711.15","16,80,420","3,34,63,25,826.50","99,269"
"06-Dec-2018","EQ","1,998.00","2,017.00","1,979.60","2,006.75","1,990.00","1,992.70","1,997.82","3,674.80","1,711.15","23,21,216","4,63,73,71,315.50","1,23,556"
"05-Dec-2018","EQ","2,006.00","2,018.00","1,985.00","2,010.85","2,003.90","2,006.75","2,004.02","3,674.80","1,711.15","25,01,539","5,01,31,23,489.45","1,07,625"
"04-Dec-2018","EQ","1,983.00","2,019.40","1,971.00","1,982.40","2,009.85","2,010.85","2,004.77","3,674.80","1,711.15","32,70,615","6,55,68,23,314.95","1,43,841"
"03-Dec-2018","EQ","1,984.00","1,990.00","1,968.30","1,968.25","1,984.00","1,982.40","1,978.67","3,674.80","1,711.15","16,10,576","3,18,68,00,046.15","1,25,194"
"30-Nov-2018","EQ","1,966.00","1,991.00","1,959.85","1,960.55","1,974.80","1,968.25","1,972.18","3,674.80","1,711.15","52,68,901","10,39,11,95,273.15","2,05,076"
"29-Nov-2018","EQ","1,997.00","1,997.00","1,942.55","1,983.90","1,970.00","1,960.55","1,964.64","3,674.80","1,711.15","40,35,441","7,92,81,94,385.75","1,60,612"
"28-Nov-2018","EQ","1,889.00","1,989.00","1,882.50","1,890.25","1,985.05","1,983.90","1,951.77","3,674.80","1,711.15","53,13,249","10,37,02,44,428.75","2,27,744"
"27-Nov-2018","EQ","1,854.00","1,897.90","1,835.35","1,846.10","1,895.00","1,890.25","1,864.24","3,674.80","1,711.15","33,44,839","6,23,55,72,685.10","1,43,244"
"26-Nov-2018","EQ","1,819.00","1,860.00","1,784.50","1,812.55","1,846.00","1,846.10","1,813.41","3,674.80","1,711.15","43,33,177","7,85,78,28,743.15","2,03,328"
