"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2019","EQ","2,189.00","2,197.00","2,157.45","2,183.20","2,165.00","2,161.70","2,171.67","2,296.20","1,808.00","19,09,289","4,14,63,54,804.75","69,597"
"30-Dec-2019","EQ","2,207.00","2,225.00","2,177.10","2,198.50","2,183.35","2,183.20","2,194.63","2,296.20","1,808.00","22,88,830","5,02,31,40,879.40","84,027"
"27-Dec-2019","EQ","2,208.00","2,226.40","2,176.00","2,201.95","2,209.90","2,198.50","2,192.11","2,296.20","1,808.00","27,20,261","5,96,31,18,728.70","93,892"
"26-Dec-2019","EQ","2,216.40","2,229.00","2,195.20","2,215.60","2,202.00","2,201.95","2,207.75","2,296.20","1,808.00","18,80,367","4,15,13,71,219.35","89,812"
"24-Dec-2019","EQ","2,239.00","2,243.55","2,211.15","2,231.70","2,216.00","2,215.60","2,223.00","2,296.20","1,808.00","18,05,896","4,01,45,04,828.20","1,00,655"
"23-Dec-2019","EQ","2,210.00","2,241.95","2,210.00","2,222.90","2,236.00","2,231.70","2,229.75","2,296.20","1,808.00","22,47,329","5,01,09,82,045.90","1,13,685"
"20-Dec-2019","EQ","2,220.00","2,246.70","2,208.25","2,229.05","2,219.00","2,222.90","2,225.89","2,296.20","1,808.00","55,48,338","12,34,99,76,608.60","1,58,986"
"19-Dec-2019","EQ","2,179.80","2,236.50","2,167.55","2,167.75","2,231.70","2,229.05","2,202.61","2,296.20","1,808.00","62,51,505","13,76,96,08,434.50","1,81,580"
"18-Dec-2019","EQ","2,174.00","2,203.45","2,153.00","2,164.95","2,166.80","2,167.75","2,182.48","2,296.20","1,808.00","82,51,081","18,00,78,21,655.85","1,98,563"
"17-Dec-2019","EQ","2,126.50","2,169.00","2,119.00","2,126.75","2,168.70","2,164.95","2,154.70","2,296.20","1,808.00","60,59,673","13,05,67,90,687.25","2,17,425"
"16-Dec-2019","EQ","2,096.00","2,136.00","2,080.30","2,071.25","2,130.00","2,126.75","2,116.76","2,296.20","1,808.00","55,74,177","11,79,92,18,410.35","1,72,181"
"13-Dec-2019","EQ","2,023.00","2,077.40","2,007.00","2,020.90","2,070.00","2,071.25","2,050.09","2,296.20","1,808.00","57,11,133","11,70,83,34,592.10","1,73,478"
"12-Dec-2019","EQ","2,051.10","2,083.65","1,984.00","2,041.90","2,003.00","2,020.90","2,039.92","2,296.20","1,808.00","71,37,306","14,55,95,33,846.75","1,46,550"
"11-Dec-2019","EQ","2,025.40","2,048.00","2,006.75","2,012.85","2,040.00","2,041.90","2,032.84","2,296.20","1,808.00","49,43,024","10,04,83,63,660.60","1,65,464"
"10-Dec-2019","EQ","2,060.00","2,060.85","2,003.25","2,060.45","2,016.25","2,012.85","2,020.99","2,296.20","1,808.00","45,20,045","9,13,49,65,070.30","1,74,993"
"09-Dec-2019","EQ","2,127.95","2,127.95","2,053.50","2,123.60","2,060.00","2,060.45","2,079.93","2,296.20","1,808.00","22,44,747","4,66,89,09,748.75","1,00,785"
"06-Dec-2019","EQ","2,124.00","2,128.00","2,101.00","2,121.30","2,123.65","2,123.60","2,116.56","2,296.20","1,808.00","18,29,461","3,87,21,56,015.05","71,365"
"05-Dec-2019","EQ","2,083.00","2,126.80","2,068.35","2,078.50","2,120.20","2,121.30","2,107.54","2,296.20","1,808.00","39,02,721","8,22,51,50,032.20","1,68,163"
"04-Dec-2019","EQ","2,053.00","2,082.00","2,045.50","2,051.00","2,077.00","2,078.50","2,067.16","2,296.20","1,808.00","33,34,301","6,89,25,36,517.65","1,08,026"
"03-Dec-2019","EQ","2,027.70","2,062.00","2,010.00","2,021.05","2,052.95","2,051.00","2,044.01","2,296.20","1,808.00","46,64,774","9,53,48,47,755.00","1,42,334"
"02-Dec-2019","EQ","2,060.00","2,067.70","2,016.00","2,053.25","2,021.00","2,021.05","2,030.47","2,296.20","1,808.00","38,09,860","7,73,57,97,778.70","1,59,643"
"29-Nov-2019","EQ","2,085.00","2,085.00","2,045.80","2,077.35","2,051.65","2,053.25","2,055.87","2,296.20","1,784.50","20,64,271","4,24,38,79,652.00","1,05,237"
"28-Nov-2019","EQ","2,067.05","2,094.40","2,060.00","2,054.30","2,075.90","2,077.35","2,081.33","2,296.20","1,784.50","29,24,429","6,08,67,06,922.95","1,42,488"
"27-Nov-2019","EQ","2,052.00","2,071.70","2,046.55","2,046.65","2,055.00","2,054.30","2,060.49","2,296.20","1,784.50","29,07,521","5,99,09,29,718.65","1,08,988"
"26-Nov-2019","EQ","2,089.85","2,097.90","2,035.05","2,081.50","2,046.65","2,046.65","2,056.29","2,296.20","1,784.50","65,61,580","13,49,25,22,424.85","1,64,453"
"25-Nov-2019","EQ","2,074.55","2,084.95","2,052.20","2,071.70","2,083.50","2,081.50","2,075.63","2,296.20","1,784.50","27,37,010","5,68,10,24,553.60","1,18,827"
"22-Nov-2019","EQ","2,097.00","2,107.00","2,060.50","2,118.10","2,067.10","2,071.70","2,079.37","2,296.20","1,784.50","37,42,049","7,78,11,17,093.20","1,37,777"
"21-Nov-2019","EQ","2,112.00","2,126.60","2,107.40","2,108.55","2,117.40","2,118.10","2,120.22","2,296.20","1,784.50","20,52,574","4,35,18,98,935.60","90,452"
"20-Nov-2019","EQ","2,121.95","2,135.00","2,094.50","2,108.80","2,108.15","2,108.55","2,112.62","2,296.20","1,784.50","28,94,129","6,11,41,94,013.70","1,19,231"
"19-Nov-2019","EQ","2,153.00","2,154.65","2,105.00","2,152.60","2,110.00","2,108.80","2,116.98","2,296.20","1,784.50","29,75,313","6,29,86,64,073.25","1,19,968"
"18-Nov-2019","EQ","2,178.40","2,187.75","2,148.75","2,174.45","2,151.00","2,152.60","2,159.10","2,296.20","1,784.50","16,11,089","3,47,85,07,912.80","66,947"
"15-Nov-2019","EQ","2,196.00","2,211.50","2,168.75","2,196.80","2,174.45","2,174.45","2,191.82","2,296.20","1,784.50","27,24,180","5,97,09,21,736.15","95,061"
"14-Nov-2019","EQ","2,187.50","2,200.00","2,146.70","2,178.60","2,190.00","2,196.80","2,183.42","2,296.20","1,784.50","29,95,915","6,54,13,36,935.45","1,04,976"
"13-Nov-2019","EQ","2,118.00","2,183.80","2,118.00","2,100.95","2,179.00","2,178.60","2,161.51","2,296.20","1,784.50","38,23,365","8,26,42,31,079.60","1,60,217"
"11-Nov-2019","EQ","2,135.00","2,139.00","2,091.00","2,129.95","2,100.90","2,100.95","2,105.79","2,296.20","1,784.50","29,83,768","6,28,31,93,792.10","1,59,080"
"08-Nov-2019","EQ","2,189.60","2,189.60","2,124.00","2,185.35","2,130.00","2,129.95","2,149.77","2,296.20","1,784.50","27,88,759","5,99,52,04,048.10","1,10,953"
"07-Nov-2019","EQ","2,204.50","2,204.50","2,175.20","2,188.50","2,185.00","2,185.35","2,186.08","2,296.20","1,784.50","19,15,598","4,18,76,59,921.35","97,328"
"06-Nov-2019","EQ","2,200.00","2,210.80","2,179.00","2,201.85","2,190.80","2,188.50","2,191.37","2,296.20","1,784.50","25,40,719","5,56,76,64,863.10","1,12,401"
"05-Nov-2019","EQ","2,197.00","2,211.00","2,169.00","2,193.95","2,198.00","2,201.85","2,187.98","2,296.20","1,784.50","26,93,475","5,89,32,71,236.75","1,36,536"
"04-Nov-2019","EQ","2,207.00","2,229.20","2,180.90","2,200.90","2,194.10","2,193.95","2,197.42","2,296.20","1,784.50","26,46,411","5,81,52,85,936.90","1,11,662"
"01-Nov-2019","EQ","2,264.00","2,275.00","2,195.00","2,269.65","2,207.00","2,200.90","2,218.97","2,296.20","1,784.35","41,72,620","9,25,89,15,613.60","1,89,932"
"31-Oct-2019","EQ","2,250.00","2,284.95","2,237.00","2,252.80","2,274.55","2,269.65","2,267.61","2,296.20","1,784.35","48,79,261","11,06,42,84,038.10","1,70,321"
"30-Oct-2019","EQ","2,225.00","2,260.00","2,176.85","2,194.85","2,258.00","2,252.80","2,229.89","2,296.20","1,784.35","51,95,136","11,58,45,98,863.45","1,80,430"
"29-Oct-2019","EQ","2,121.50","2,201.70","2,121.50","2,115.70","2,197.50","2,194.85","2,173.21","2,296.20","1,784.35","50,64,173","11,00,55,21,982.35","2,61,926"
"27-Oct-2019","EQ","2,129.00","2,129.00","2,108.80","2,124.95","2,117.65","2,115.70","2,117.14","2,296.20","1,784.35","2,24,421","47,51,30,157.20","13,145"
"25-Oct-2019","EQ","2,094.00","2,130.00","2,075.05","2,082.00","2,121.60","2,124.95","2,102.55","2,296.20","1,784.35","39,54,245","8,31,39,95,116.15","1,65,203"
"24-Oct-2019","EQ","2,084.00","2,099.00","2,061.30","2,070.10","2,079.75","2,082.00","2,077.28","2,296.20","1,784.35","27,98,671","5,81,36,17,173.45","1,56,073"
"23-Oct-2019","EQ","2,060.00","2,083.85","2,052.50","2,051.40","2,082.00","2,070.10","2,068.82","2,296.20","1,784.35","23,48,134","4,85,78,58,827.90","2,04,587"
"22-Oct-2019","EQ","2,080.00","2,111.50","2,040.05","2,057.35","2,050.00","2,051.40","2,067.79","2,296.20","1,784.35","55,52,505","11,48,14,14,801.70","2,36,213"
"18-Oct-2019","EQ","2,037.50","2,063.90","2,025.00","2,030.95","2,059.00","2,057.35","2,046.03","2,296.20","1,784.35","30,87,901","6,31,79,36,211.05","1,15,810"
"17-Oct-2019","EQ","2,014.00","2,038.00","1,999.30","2,046.40","2,029.00","2,030.95","2,018.47","2,296.20","1,784.35","38,18,774","7,70,80,77,723.55","1,89,836"
"16-Oct-2019","EQ","2,038.00","2,056.00","2,016.00","2,037.30","2,055.00","2,046.40","2,032.41","2,296.20","1,784.35","30,34,082","6,16,64,92,279.65","1,60,140"
"15-Oct-2019","EQ","2,032.00","2,047.00","2,022.70","2,021.00","2,037.80","2,037.30","2,039.28","2,296.20","1,784.35","22,61,310","4,61,14,51,969.50","1,47,982"
"14-Oct-2019","EQ","1,995.00","2,032.75","1,968.00","1,986.85","2,021.00","2,021.00","2,009.80","2,296.20","1,784.35","35,10,704","7,05,58,09,113.55","1,54,256"
